tot_id,summary,details,label,relevant/irrelevant,key_word
103071756,Ptac Ac/Heat Units,"Description
The contractor shall supply ten (10) 9,000 BTU class Packaged Terminal Air Conditioner (PTAC) units. These units will be installed by USACE personnel on the Taggetz Quarters Barge. The units must include hydronic heating capability, fit into the sleeves already installed, be compatible with existing wired thermostats, and have corrosion resistant grills. Units must brand new, 230/208 volt, 1 phase, 15 Amp max draw, and include 15 Amp plugs. These units must be “plug and play,” not requiring electrical wiring, changes to plumbing, or replacement of external sleeves. The units are to be installed (by USACE) in the crew quarters, to replace Amana model PTC073B00HJ and PTC093B00HJ units that have failed. These PTAC units are installed in sleeves with a rough opening of 16.25” x 43.25”. The units must have hydronic heating kits installed, which regulate the flow of water from a central boiler to control heat. The proposed units should be the same as Amana PTC093J or PTC093K units, or equal, in terms of fit and function. The contractor shall supply ten (10) 9,000 BTU class Packaged Terminal Air Conditioner (PTAC) units. These units will be installed by USACE personnel on the Taggetz Quarters Barge. The units must include hydronic heating capability, fit into the sleeves already installed, be compatible with existing wired thermostats, and have corrosion resistant grills. Units must brand new, 230/208 volt, 1 phase, 15 Amp max draw, and include 15 Amp plugs. These units must be “plug and play,” not requiring electrical wiring, changes to plumbing, or replacement of external sleeves. The units are to be installed (by USACE) in the crew quarters, to replace Amana model PTC073B00HJ and PTC093B00HJ units that have failed. These PTAC units are installed in sleeves with a rough opening of 16.25” x 43.25”. The units must have hydronic heating kits installed, which regulate the flow of water from a central boiler to control heat. The proposed units should be the sa...",1,Relevant,Air condition supply tender or AC supply tenders
103086038,"Tender For Supply, Installation, Testing And Commissioning Of Heating, Ventilation And Air Conditioning Hvac For 50 Bedded Sub District Hospital At Pahalgam.","Tender For Supply, Installation, Testing And Commissioning Of Heating, Ventilation And Air Conditioning Hvac For 50 Bedded Sub District Hospital At Pahalgam. Doc. Fee- 14000",1,Relevant,Air condition supply tender or AC supply tenders
103102949,"Price Quotation for Supplying, Delivery, Installation and Delivery of Air Conditioners for the Use of Schools and Education Offices in Segamat District in 2024","PRICE QUOTATION FOR SUPPLYING, DELIVERY, INSTALLATION AND DELIVERY OF AIR CONDITIONERS FOR THE USE OF SCHOOLS AND EDUCATION OFFICES IN SEGAMAT DISTRICT IN 2024",1,Relevant,Air condition supply tender or AC supply tenders
103113973,Supplying And Installing Air Conditioning Equipment Ventilation And Smoke Drainage (Cvd) In The Center,Tenders Are Invited For Supplying And Installing Air Conditioning Equipment Ventilation And Smoke Drainage (Cvd) In The Center,1,Relevant,Air condition supply tender or AC supply tenders
103154934,Supply & Installation of Wall Mounted (Inverter Type) Air Conditioners,"Tenders are invited for Supply & Installation of Wall Mounted (Inverter Type) Air Conditioners. 1 8,500 BTU - 10,000 BTU Wall Mounted (Inverter Type) 30 2 11,000 BTU - 13,000 BTU Wall Mounted (Inverter Type) 60 3 17,000 BTU - 19,000 BTU Wall Mounted (Inverter Type) 20 4 22,500 BTU - 25,500 BTU Wall Mounted (Inverter Type) 30 5 34,000 BTU - 41,500 BTU Wall Mounted (Inverter Type) 25 6 42,000 BTU - 51,500 BTU Wall Mounted (Inverter Type) 20. Tender Fees: LKR 5000/- Non refundable. Bid Security: 3%",1,Relevant,Air condition supply tender or AC supply tenders
103157410,Resolution of the Executive Council N. 13982 of 05.31.2024 - Supply and Installation of Electrical Power Equipment and Air Conditioning Equipment for the Expansion of the Dining Room...,"Resolution of the Executive Council n. 13982 of 05.31.2024 - Supply and installation of electrical power equipment and air conditioning equipment for the expansion of the dining room...
Deliberation of the Executive Council n. 13982 of 05.31.2024 - Supply with installation of",1,Relevant,Air condition supply tender or AC supply tenders
103158921,Power Supply Work Due to Replacement of Air Conditioner in Dormitory (Hyanglim Hall),Power supply work due to replacement of air conditioner in dormitory (Hyanglim Hall),1,Relevant,Air condition supply tender or AC supply tenders
103169455,Rfq No. 2406-528 Proc. of Goods (Supply and Installation of Airconditioning Unit),"Tender are invited for RFQ No. 2406-528 Proc. of Goods (Supply and Installation of Airconditioning Unit)
Procurement Mode : Negotiated Procurement - Small Value Procurement (Sec. 53.9)
Classification : Goods
Category : Airconditioning and Airconditioning Systems
Contract Duration : 15 Day/s
Budget for the Contract : PHP 349,960.00
Area of Delivery : Bohol
Description : REQUEST FOR QUOTATION
Procurement of Goods [Supply and Installation of Airconditioning Unit]

The City Government of Tagbilaran, through its Bids and Awards Committee (BAC) intends to apply the sum of Three Hundred Forty-Nine Thousand Nine Hundred Sixty (P 349,960.00) Pesos Only being the Approved Budget for the Contract (ABC)- Appropriation Ordinance No. 23-07 for the procurement of Goods as stipulated in RFQ No. 2406-528; Purchase Request No. 2024-000775. Quotations from suppliers received in excess of the ABC shall be automatically rejected.

The City Government of Tagbilaran now invites suppliers to quote for supply and installation of air conditioning unit for the CSWD, LGU Tagbilaran City. Delivery of the Goods is required 15 days after receipt of Purchase Order.

Quotation for the Goods is open to all interested suppliers, whether local or foreign, subject to the conditions for eligibility provided in the IRR of RA 9184.

Interested suppliers may obtain further information from the City Government of Tagbilaran at the address given below du...",1,Relevant,Air condition supply tender or AC supply tenders
103205432,"Power Supply Cables for 1.5Tr Split Invertor Air Conditioner Total 207 Mtrs, Qty: 207 MTRS, (BOQ Item #9)",BOQ Item Description: Power supply cables for 1.5TR Split invertor air conditioner,0,Irrelevant,Air condition supply tender or AC supply tenders
103212494,"Supply and Fixing of Air Conditioners (20 Nos) to Birth Waiting Homes at Itda, Rampachodavaram (1St Call (Short Tender))","Supply and Fixing of Air Conditioners (20 Nos) to Birth Waiting Homes at Itda, Rampachodavaram (1St Call (Short Tender))
Materials
Air Conditioners And installation",1,Relevant,Air condition supply tender or AC supply tenders
103232825,"Supply of Air Conditioning and Ventilation Equipment and Accessories, for the Adaptation Work of the Existing Infrastructures in the Industrial Warehouse for the Innovation Center In...","description: Supply of air conditioning and ventilation equipment and accessories, for the adaptation work of the existing infrastructure in the industrial warehouse for the Innovation Center in Advanced Manufacturing Technologies (Cfa) in Puerto Real (Cadiz) Phase 2-2, Co-financed With Fundsd0311b314139639afa8d9993705f8a28",1,Relevant,Air condition supply tender or AC supply tenders
103242093,60015123 - Supply of an Air Conditioning Unit for the Desalination Plants Production System in Khafji,60015123 - Supply of an air conditioning unit for the desalination plants production system in Khafji,1,Relevant,Air condition supply tender or AC supply tenders
103242094,60015124 - Supply of an Air Conditioning Unit for the Desalination Plants Production System in Ras Al-Khair,60015124 - Supply of an air conditioning unit for the desalination plants production system in Ras Al-Khair,1,Relevant,Air condition supply tender or AC supply tenders
103300451,Mechanical/Electrical Engineering Services for the Supply & Installation of a Central Air Conditioning System,"Tenders are invited for Mechanical/Electrical Engineering Services for the Supply & Installation of a Central Air Conditioning System NHT St James Branch Office The Scope at Services Iodides: • Conduct Site Reconnaissance and Providing Guidelines to the NHT Based on the existing Infrastructure at the NHT St James Brandi Office * Provide Pre-Contract Services for the Electrical Requirement's (including Electrical Assessment and Any Other Technical Requirements for the New Air-Conditioning Units Provide Recommendation to the NHT for Tie Size And Specifications of the New Air Conditioning Units Prepare the Pre Tender Estimate, Tender and Contract Documents to Facilitate the Engagement Of a Supplier for Tie Acquisition and Installation of The New Air-Conditioning Units Evaluate Bids Received and Submit a Tender Evaluation Report to the Nht Provide Post-Contract Services including Supervision OF Works, Evaluate and Approve Payment Claims, Contract Administration and Pre- Pare Final Account to Facilitate Closeout of The Project.",1,Relevant,Air condition supply tender or AC supply tenders
103333806,Supply and Installation of Three Air Conditioners in the Department of Eeeece,"Supply and Installation of Three Air Conditioners in the Department of Eeeece
Three Air Conditioners
Air Conditioners And installation",1,Relevant,Air condition supply tender or AC supply tenders
103342852,"Manufacturing Services for Air Conditioning, Ventilation or Refrigeration Equipment - Purchase Process for Supply and Installation of 10 Air Conditioners with the Following Specifications: 1....","Manufacturing services for air conditioning, ventilation or refrigeration equipment - Purchase Process for Supply and Installation of 10 air conditioners with the following specifications: 1. Four (4) 12,000 BTU air conditioners 2. Five (5) 18,000 BTU air conditioners BTU 3. Ad0311b314139639afa8d9993705f8a28",1,Relevant,Air condition supply tender or AC supply tenders
103428386,Supply and Fixing of 24000 BTU Air Conditioner Inverter Type with Complete Installation,"Tenders are invited for Supply and Fixing of 24000 BTU Air Conditioner Inverter Type with Complete Installation Qty: 09 Nos. Eastern Province - Trincomalee - Supply and Fixing of Computers, Accessories, Generator, Electrical and Electronic Items & Furniture Tender Fee: Rs. 1,500.00 (non-refundable) Potential bidders can participate in one or more lots as given in the table. , Bids shall be valid up to 03.10.2024 after the deadline for submission. . Bids shall be accompanied by a Bid Security of 01 % of the quoted amount and valid till 31.10.2024 , The Contract Period is 30 calendar days. . Pre-bid meeting will be held on 10.07.2024 at 10.00 hrs in the Assistant Project Director (LDSP) Office of the Assistant Commissioner of Local Government, Saravana Road, Kallady, Batticaloa and interested bidders may participate in this meeting on their expense. . The Provincial Project Procurement Committee's decision is the final on awarding the contract. . The employer has the right to cancel or withdraw this procurement at any time before awarding the contract.",1,Relevant,Air condition supply tender or AC supply tenders
103335336,Parking Meters,"On-Street Parking Upgrade, Parking Meter/Kiosks, And Pay-By-Cell, Management Software And Collections",1,relevant,Smart parking
102693715,"Supply, Production and Distribution of Australian Disability Parking Permits","Supply, Production and Distribution of Australian Disability Parking Permits
The supply, production and distribution of Australian Disability Parking Permits to eligible Tasmanian community members.
Period of Contract (Estimated) : From 20/09/2024 to 19/09/2027
Enquiries :
SimonMoreyManagerRegulations&Concessions
Location : State-wide",1,relevant,Smart parking
102566877,"Rental Supply of 8 Parking Meters and In-Person Technical Assistance for the Management of Regulated Surface Parking (Blue Zone) in Llanes, Summer 2024","Description: Rental Supply of 8 Parking Meters and In-Person Technical Assistance for the Management of Regulated Surface Parking (Blue Zone) in Llanes, Summer 2024
Closing Date: 2024-06-26
Tender Base Budget: Euros
Contract Type: Supplies
Coded0311b314139639afa8d9993705f8a28",1,relevant,Smart parking
103428320,Illegal Parking Vehicle Drag Transsment Social Service,Tenders are invited for Illegal Parking Vehicle Drag Transsment Social Service Xi'an Public Security Bureau Transportation Police Detachment illegally parks vehicles to drag and transfer to transfer social service bidding announcement Bid Opening Date: 2024-07-17 09:30 [Disclaimer: The above text is machine translated. For accurate information kindly refer the original document.],0,Irrelevant,Smart parking
103411429,"Service Concession Worth Aot (temporary Occupation Authorization) For The Operation Of A Space Intended For Self-service Mobility Services Located On Existing Parking Spaces Near The Kub Building In Sainte-clotilde, Reunion","Invitation to tender for the Service Concession Worth Aot (temporary Occupation Authorization) For The Operation Of A Space Intended For Self-service Mobility Services Located On Existing Parking Spaces Near The Kub Building In Sainte-clotilde, Reunion",0,Irrelevant,Smart parking
103295871,Remote Parking Payment,"This procedure concerns the evaluation of a remote payment solution for on-street parking. With this in mind, the companies contacted must submit a detailed offer in accordance with these specifications. By the term ""remote"" we mean all of the",1,relevant,Smart parking
103243412,Low Heat Cycle Service will be Provided,"LOW HEAT (H2O2 GAS PLASMA) CYCLE SERVICE WILL BE PROVIDED
Rental and Service Procurement",0,Irrelevant,Smart parking
103211411,"Contracting Minor Supply, on a Rental Basis, of 300 Indoor Cycling Bicycles for the Cycling Masterclass in the Plaza De Les Comunitats Autonomos in the Year 2024","Description of the service: Contract less supply, on a rental basis, of 300 cycloindoor bikes for the Cycling Masterclass in the Plaza de les Comunitats Autonomos in the year 2024",0,Irrelevant,Smart parking
103205276,"Construction of A-I Type School Building, Residential Quarters Type Ii / 4 Nos., Type Iii / 4 Nos. Type V - 1 No. (Phase - I), Canteen Kiosk, Guard Room, Parking Sheds, U.G. Tank & Water Supply, Sanit...","Construction of A-I Type School Building, Residential Quarters Type Ii / 4 Nos., Type Iii / 4 Nos. Type V - 1 No. (Phase - I), Canteen Kiosk, Guard Room, Parking Sheds, U.G. Tank & Water Supply, Sanitary & Drainage Arrangement of Kendriya Vidyalya Jourian, Akhnoor (J&K). Sh Providing Services of Security Guards for Round the Clock Watch and Ward of Govt. Premises of Cpwd Office Complex at Shakti Nagar, Jammu
Name of Work: Construction of A-I Type School Building, Residential quarters Type II / 4 Nos., Type III / 4 Nos. Type V - 1 No. (Phase - I), Canteen Kiosk, Guard room, Parking sheds, U.G. tank & water supply, Sanitary & Drainage arrangement of Kendriya Vidyalya Jourian, Akhnoor (J&K). SH Providing services of Security Guards for Round the clock watch and ward of Govt. Premises of CPWD office Complex at Shakti Nagar, Jammu
Procurement Type: SERVICES
Type of Work: Manpower Supply",0,Irrelevant,Smart parking
103107535,Gangneung Gyo-Dong Happy House Information and Communication Construction Section 1 Vehicle Access and Parking Control System Purchase,Gangneung Gyo-dong Happy House information and communication construction section 1 vehicle access and parking control system purchase,1,relevant,Smart parking
103020369,"Rmo Specialized Electrical and Mechanical Services of Delhi High Court, New Delhi.","(SH Comprehensive Maintenance and Operation of Multi Level Under Ground Automated Car Parking along with associated Electrical and Mechanical services installed at Delhi High Court, Sher Shah Suri Marg, New Delhi).
Electrical Works",1,relevant,Smart parking
102861105,Implementation of an Unguarded Paid Parking Zone in the Area of ​​Saska Kępa and Kamionek in the Praga-Południe District of the Capital City of Warsaw. Warsaw.,Implementation of a Paid Unattended Parking Zone in the Praga-Poudnie District of the Capital City of Warsaw. Warsaw area according to map appendix no. 1.,1,relevant,Smart parking
102850418,“hypercentre De Casablanca” Parking Project “hypercentre De Casablanca” Topographic Control Services,“Hypercentre de Casablanca” parking project “Hypercentre de Casablanca” Topographic control services,1,relevant,Smart parking
102746142,"Rfq No. 2024-05-0314: Board and Lodging for the Conduct of Roll out Training on Case Management for Former Rebels in Implementing Eo70 on June 26-28, 2024 Within Negros Occidental","Tender are invited for RFQ No. 2024-05-0314: Board and Lodging for the conduct of Roll Out Training on Case Management for former Rebels in Implementing EO70 on June 26-28, 2024 within Negros Occidental
Product/Service Name : Board and Lodging
Procurement Mode : Negotiated Procurement - Small Value Procurement (Sec. 53.9)
Classification : Goods
Category : Hotel and Lodging and Meeting Facilities
Contract Duration : 0 Day/s
Budget for the Contract : PHP 100,000.00
Area of Delivery : Negros Occidental
Description : Quantity Unit of Issue Description
Board and Lodging
25 pax 3 MEALS AND 2 SNACKS

Function Room
* Free flowing coffee, hot and cold drinking water
* One plenary well ventilated air-conditioned function room to accommodate participants
* High speed internet connectivity
* Welcome Streamer and backdrop
* With Projector and wide screen
* With PA system and 4 wireless microphones,standby technical staff to assist during sessions
* Audio jack and extension cord
* Movable tables and chairs
* Table and chairs for the use of the Facilitators and Secretariat
* Double/Triple room sharing
Health and Safety Standards
* Green procurement
* Basic first aid and medicine kit for diarrhea, allergy, hypertension,cold and hyperacidity
* PWD compliant facility (elevator access, ramp, comfort rooms)
* With Security CCTV including Cameras withkin vicinity
* Wide parking area for...",0,Irrelevant,Smart parking
102650396,Market for the Provision and Operation of a Self-Service Bicycle System Including the Rental of Bicycles and the Rental and Installation of Bicycle Stations,"The holder is responsible for the following services:
- Ensure the provision, installation, upkeep and maintenance of:
o 49 stations
o 220 self-service bicycles (more, either 100 muscular or 100 electrically assisted bicycles); i.e. a total of 320 bicycles.
- Ensure the supply,",0,Irrelevant,Smart parking
102611162,"Integrated Security Surveillance System Service - Health Monitoring Solution for Cctv System, Monit, Qty: 1","INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Health Monitoring Solution for CCTV System, Monitor Operations, Theft Prevention, Parking Lots, Employee Safety, Vandalism Deterrence, Facility/Asset Protection, Outdoor Perimeter Security; Recording ..",1,relevant,Smart parking
102583190,"Carrying out Work on the Development of Design Documentation for the Modernization of Facilities ""System of Access Control Points for an Automated Parking System"", Inv. No. Ma-010045; ""Temporary Additional Pa...","Lot name: - Execution of work on the development of design documentation for the modernization of objects ""System of access control points for an automated parking system"", inv. No. MA-010045; ""Temporary additional parking"", inv. No. MA-010686
Services for engineering and technical design of buildings",1,relevant,Smart parking
102528921,Rental of Parking Spaces for Cbp San Juan Customs House,"Description
In accordance with FAR 6.302-1, Only One Responsible Source and No other Supplies or Services will satisfy agency requirement. Customs and Border Protection intends to negotiate a Sole Source Award with the San Juan Municipal (La Puntilla Parking) for the monthly rental of 100 parking spaces for the exclusive use by CBP employees. It must be a secured, gated parking area with proper illumination and controlled access. The NAICS code for this procurement is 812930. This notice of intent is not a request for quotations. No solicitation will be made available. Interested parties who wish to submit information about their companies- capabilities can email the contract specialist no later than 5:00 PM, Eastern Time, 7/11/2024. Information should be emailed to amoz.j.samuel@cbp.dhs.gov, no phone calls accepted.",0,Irrelevant,Smart parking
102501864,Traffic and Parking Enforcement Solution (Tapes),Description :The Territory is seeking to engage with experienced service providers capable of providing traffic and/or parking enforcement solutions within in the ACT.The Territory is undertaking a Request for Expressions of Interest (REOI) process to:1. Identify experienced service providers who are able to provide one (1) or more of the Territory-s requirements for a Traffic and Parking Enforcement Solution (TAPES).2. Evaluate the market-s ability to satisfy the Territory-s objectives and address current challenges through market offerings.3. Understand if service and value for money efficiencies can be gained through provider rationalisation (fewer contracts which a optimised to deliver the required services).4. Create a shortlist of experienced and capable Respondents to participate in Industry Workshops and Stage 2 - Request for Proposal (RFP).,1,relevant,Smart parking
102432966,Ta-9740 Geo: Preparing Integrated Solutions for Livable Cities (Georgia Ecomobility Project) - Senior Parking Management Specialist (53114-001),"Tender are invited for Ta-9740 Geo: Preparing Integrated Solutions for Livable Cities (Georgia Ecomobility Project) - Senior Parking Management Specialist (53114-001)
Consultant Type : Individual
Selection Method : Individual Consultant Selection (Ics)
Selection Title : Preparing Integrated Solutions for Livable Cities (Georgia EcoMobility Project)
Deadline of Submitting EOI : 17-Jun-2024 11:59 PM Manila local time",1,relevant,Smart parking
102342728,Supply of Unified Complexes of Automated Parking Systems,Supply of unified complexes of automated parking systems,1,relevant,Smart parking
102341468,Operation of the Hospital Parking System - Replay,"1. The subject of the order is the operation of the hospital parking system 7 days a week - min. from 7:30 to 18:30, max. from 6:00 20:002. As part of the above-mentioned services The contractor will manage 92 parking spaces (the total parking area is 1,917 m2). Detailed rules for operating the parking system",1,relevant,Smart parking
102338744,Parking Ticket Machine,Parking ticket machine,1,relevant,Smart parking
102277037,"Service, Maintenance of the Gis System, for the Year 2024","Service, Maintenance of the Gis System, For the Year 2024",1,Relevant,geographical information system
102307912,Everglades,"Description
The National Geospatial Intelligence Agency posted the EVERGLADES Request for Information (RFI) to the classified Intelligence Community Acquisition Research Center (ARC) website at https://acq-ui.ace.proj.nro.ic.gov on 6 June 2024. The scope of EVERGLADES involves test and evaluation of models, systems, and human-machine teams. The objective of the RFI is to identify sources capable of performing the required services and to seek comments from industry on the draft Performance Work Statement. Responses to the RFI are due no later than 3:00PM EDT on 8 July 2024.
Interested parties must have a classified ARC account to access the classified ARC website. To obtain a classified ARC account, interested parties must add their classified email address to their profile in the unclassified ARC website and within 24-48 hours, the classified ARC account will be active.
To access the unclassified ARC website, interested parties must create an account at https://acq.westfields.net/. ACE IT Helpdesk can be reached at (703) 230-6300 or acehelpdesk@westfields.net for issues with PKI certifications or logging in to the ARC website.",0,Irrelevant,geographical information system
102298100,Ttc6195oat0. Digitization Digital Twin Tbc Modeling,"description: Ttc6195oat0. Digitization Digital Twin Tbc Modeling
Closing date: 2024-06-24
Tender base budget: Euros
Contract Type: Services
CPV Code: 71311000 Civil engineering consulting services., 71318000 Engineering advisory and consulting services.,",1,Relevant,geographical information system
102280488,"Conducting Topographical Survey, Cleaning of Jungle & Soil Investigation for the Proposed Land of Subsidiary Intelligence Bureau at Malari (Uttarakhand).","Name of Work: Conducting topographical survey, cleaning of jungle & soil investigation for the proposed land of Subsidiary Intelligence Bureau at Malari (Uttarakhand).
Subwork/Packages: Conducting topographical survey, cleaning of jungle & soil investigation for the proposed land of Subsidiary Intelligence Bureau at Malari (Uttarakhand).
Procurement Type: WORKS
Type of Work: Civil Works - Others",1,Relevant,geographical information system
102273227,Carrying out Geotechnical Studies - Sanitation and Drinking Water Works for the Regie Des Eaux Gessiennes Territory of Reoges,Carrying out geotechnical studies - Sanitation and drinking water works for the Regie des Eaux Gessiennes Territory of REOGES,1,Relevant,geographical information system
102270909,Geotechnical Study of Reconstruction of a Structure Located at Pk7+000 of Rp5201 (Province of Al Hoceima).,Geotechnical Study of Reconstruction of a Structure Located at Pk7+000 of Rp5201 (Province of Al Hoceima).,1,Relevant,geographical information system
102269828,Gis Software and Licence Provision,GIS software and licence provision,1,Relevant,geographical information system
